Date,Time,Flight Type 1,Track 1,Wind speed 1,Flight Type 2,Track 2,Wind speed 2,Flight Type 3,Track 3,Wind speed 3,Flight Type 4,Track 4,Wind speed 4,Flight Type 5,Track 5,Wind speed 5,Flight Type 6,Track 6,Wind speed 6,Flight Type 7,Track 7,Wind speed 7,Flight Type 8,Track 8,Wind speed 8,Flight Type 9,Track 9,Wind speed 9,Flight Type 10,Track 10,Wind speed 10,Flight Type 11,Track 11,Wind speed 11,Flight Type 12,Track 12,Wind speed 12,Flight Type 13,Track 13,Wind speed 13,Flight Type 14,Track 14,Wind speed 14,Flight Type 15,Track 15,Wind speed 15,Flight Type 16,Track 16,Wind speed 16,Flight Type 17,Track 17,Wind speed 17,Flight Type 18,Track 18,Wind speed 18,Flight Type 19,Track 19,Wind speed 19,Flight Type 20,Track 20,Wind speed 20,Flight Type 21,Track 21,Wind speed 21,Flight Type 22,Track 22,Wind speed 22,Flight Type 23,Track 23,Wind speed 23,Flight Type 24,Track 24,Wind speed 24,Flight Type 25,Track 25,Wind speed 25,Flight Type 26,Track 26,Wind speed 26,Flight Type 27,Track 27,Wind speed 27,Flight Type 28,Track 28,Wind speed 28,Flight Type 29,Track 29,Wind speed 29,Flight Type 30,Track 30,Wind speed 30,Flight Type 31,Track 31,Wind speed 31,Flight Type 32,Track 32,Wind speed 32,Flight Type 33,Track 33,Wind speed 33,Flight Type 34,Track 34,Wind speed 34,Flight Type 35,Track 35,Wind speed 35,Flight Type 36,Track 36,Wind speed 36,Flight Type 37,Track 37,Wind speed 37,Flight Type 38,Track 38,Wind speed 38,Flight Type 39,Track 39,Wind speed 39,Flight Type 40,Track 40,Wind speed 40,Flight Type 41,Track 41,Wind speed 41,Flight Type 42,Track 42,Wind speed 42,Flight Type 43,Track 43,Wind speed 43,Flight Type 44,Track 44,Wind speed 44,Flight Type 45,Track 45,Wind speed 45,Flight Type 46,Track 46,Wind speed 46,Flight Type 47,Track 47,Wind speed 47,Flight Type 48,Track 48,Wind speed 48,Flight Type 49,Track 49,Wind speed 49,Flight Type 50,Track 50,Wind speed 50,Flight Type 51,Track 51,Wind speed 51,Flight Type 52,Track 52,Wind speed 52,Flight Type 53,Track 53,Wind speed 53,Flight Type 54,Track 54,Wind speed 54,Flight Type 55,Track 55,Wind speed 55,Flight Type 56,Track 56,Wind speed 56,Flight Type 57,Track 57,Wind speed 57,Flight Type 58,Track 58,Wind speed 58,Flight Type 59,Track 59,Wind speed 59,Flight Type 60,Track 60,Wind speed 60,Hour epnl
01/05/2010,10:00:00,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,NULL
01/05/2010,11:00:00,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,NULL
01/05/2010,12:00:00,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,NULL
01/05/2010,13:00:00,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,B752,10,1.69,null,null,null,null,null,null,null,null,null,null,null,null,B738,3,2.14,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55.8
01/05/2010,14:00:00,null,null,null,null,null,null,null,null,null,null,null,null,B738,3,1.62,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,A333,2,1.9,null,null,null,null,null,null,A332,3,1.53,null,null,null,null,null,null,B733,3,1.53,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,B733,3,1.84,null,null,null,A332,3,1.84,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,B738,3,1.91,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,A333,3,1.75,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,63.2
01/05/2010,15:00:00,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,B737,3,1.93,null,null,null,B738,3,1.93,null,null,null,null,null,null,B738,3,1.9,null,null,null,null,null,null,A333,3,1.9,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,B744,1,2.05,null,null,null,null,null,null,null,null,null,null,null,null,B738,3,2.05,null,null,null,null,null,null,B739,3,1.9,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,B752,3,1.72,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,63.3
01/05/2010,16:00:00,null,null,null,null,null,null,null,null,null,B752,3,1.9,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,B738,3,1.9,null,null,null,null,null,null,null,null,null,A346,3,1.67,null,null,null,B738,1,1.67,null,null,null,null,null,null,B763,7,1.67,null,null,null,A330,3,1.74,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,A332,3,1.89,null,null,null,null,null,null,A320,3,1.89,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,B738,3,1.81,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,B752,10,1.94,null,null,null,63.6
01/05/2010,17:00:00,null,null,null,null,null,null,null,null,null,B772,3,2.14,null,null,null,null,null,null,A333,3,2.14,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,A321,3,2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,B738,3,2.25,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,B752,3,2.22,null,null,null,B752,3,2.22,null,null,null,null,null,null,null,null,null,null,null,null,60
01/05/2010,18:00:00,A332,3,1.52,null,null,null,null,null,null,B762,3,1.52,null,null,null,null,null,null,B737,3,1.52,null,null,null,null,null,null,B772,3,1.52,null,null,null,null,null,null,null,null,null,null,null,null,A333,3,1.51,null,null,null,null,null,null,A321,4,1.51,null,null,null,null,null,null,B738,3,1.61,null,null,null,null,null,null,A306,3,1.61,null,null,null,null,null,null,null,null,null,null,null,null,B738,3,1.61,null,null,null,null,null,null,null,null,null,B738,2,1.7,null,null,null,null,null,null,null,null,null,B737,3,1.7,null,null,null,B733,3,1.7,null,null,null,B738,3,1.95,null,null,null,A333,3,1.95,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,B738,3,1.95,null,null,null,A321,3,1.76,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,B738,3,1.76,null,null,null,65.8
01/05/2010,19:00:00,null,null,null,null,null,null,A321,3,1.66,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,A320,3,1.66,null,null,null,null,null,null,A333,3,1.83,null,null,null,null,null,null,null,null,null,B752,3,1.83,null,null,null,null,null,null,null,null,null,null,null,null,B733,3,1.87,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,B733,3,1.77,null,null,null,null,null,null,B752,3,1.77,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,B738,3,1.8,null,null,null,null,null,null,B738,3,1.8,null,null,null,null,null,null,A320,3,1.94,null,null,null,null,null,null,null,null,null,null,null,null,B738,3,1.94,null,null,null,null,null,null,null,null,null,null,null,null,68.1
01/05/2010,20:00:00,B738,3,1.57,null,null,null,B737,3,1.57,null,null,null,null,null,null,B738,3,1.57,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,A321,3,1.41,null,null,null,null,null,null,B738,3,1.41,null,null,null,null,null,null,null,null,null,A319,3,1.41,null,null,null,null,null,null,null,null,null,null,null,null,B738,3,1.58,null,null,null,null,null,null,null,null,null,null,null,null,A320,3,1.58,null,null,null,null,null,null,A333,1,1.49,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,B738,3,1.31,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,A321,3,1.55,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,66.4
01/05/2010,21:00:00,null,null,null,B738,3,1.34,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,B772,3,1.34,null,null,null,null,null,null,B738,3,1.13,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,B737,3,1.13,null,null,null,B738,3,1.13,null,null,null,A320,3,1.38,null,null,null,null,null,null,B738,6,1.38,null,null,null,null,null,null,B733,3,1.38,null,null,null,A319,10,1.38,null,null,null,null,null,null,B738,3,1.28,null,null,null,null,null,null,null,null,null,null,null,null,A319,3,1.28,null,null,null,null,null,null,B738,3,1.38,null,null,null,B738,4,1.38,null,null,null,null,null,null,B738,3,1.38,null,null,null,B738,3,1.38,null,null,null,null,null,null,A333,3,1.28,null,null,null,null,null,null,B752,3,1.28,null,null,null,null,null,null,A333,3,1.28,null,null,null,null,null,null,null,null,null,70.5
01/05/2010,22:00:00,null,null,null,B737,3,1.1,null,null,null,B738,10,1.1,null,null,null,null,null,null,B737,3,1.1,null,null,null,null,null,null,null,null,null,null,null,null,A320,3,1.15,null,null,null,B734,1,1.15,null,null,null,null,null,null,E190,3,1.15,null,null,null,B738,3,1.15,null,null,null,null,null,null,B738,4,0.96,null,null,null,null,null,null,B737,3,0.96,null,null,null,null,null,null,B738,3,0.96,null,null,null,B733,3,0.85,null,null,null,null,null,null,A321,3,0.85,null,null,null,null,null,null,B738,3,0.85,null,null,null,null,null,null,A320,9,0.85,null,null,null,A346,3,0.69,null,null,null,null,null,null,B738,3,0.69,null,null,null,null,null,null,B738,3,0.69,null,null,null,B752,3,0.69,null,null,null,null,null,null,B738,3,0.77,null,null,null,null,null,null,B738,1,0.77,null,null,null,A320,3,0.77,null,null,null,A319,3,0.77,null,null,null,75.7
01/05/2010,23:00:00,null,null,null,A319,3,0.6,null,null,null,E190,3,0.6,null,null,null,null,null,null,B737,3,0.6,null,null,null,B733,3,0.6,null,null,null,null,null,null,B737,3,0.74,null,null,null,A333,3,0.74,null,null,null,null,null,null,B738,3,0.74,null,null,null,B733,3,0.74,null,null,null,null,null,null,A321,6,0.54,null,null,null,null,null,null,B738,3,0.54,null,null,null,null,null,null,null,null,null,B747,2,0.54,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,A319,6,0.49,null,null,null,B738,10,0.53,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,75.1
02/05/2010,00:00:00,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,NULL
02/05/2010,01:00:00,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,NULL
02/05/2010,02:00:00,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,70.9
02/05/2010,03:00:00,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,NULL
02/05/2010,04:00:00,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3,0.7,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54.9
