treat,age,educ,black,hisp,married,nodegr,re74,re75,re78
0.00,45.00,11.00,0.00,0.00,1.00,1.00,21516.67,25243.55,25564.67
0.00,21.00,14.00,0.00,0.00,0.00,0.00,3175.97,5852.57,13496.08
0.00,38.00,12.00,0.00,0.00,1.00,0.00,23039.02,25130.76,25564.67
0.00,48.00,6.00,0.00,0.00,1.00,1.00,24994.37,25243.55,25564.67
0.00,18.00,8.00,0.00,0.00,1.00,1.00,1669.30,10727.61,9860.87
0.00,22.00,11.00,0.00,0.00,1.00,1.00,16365.76,18449.27,25564.67
0.00,48.00,10.00,0.00,0.00,1.00,1.00,16804.63,16354.60,18059.30
0.00,18.00,11.00,0.00,0.00,0.00,1.00,1144.21,3620.03,15739.27
0.00,48.00,9.00,0.00,0.00,1.00,1.00,25862.32,25243.55,25564.67
0.00,45.00,12.00,0.00,0.00,1.00,0.00,25862.32,0.00,3924.84
0.00,34.00,14.00,0.00,0.00,1.00,0.00,25862.32,23746.84,25564.67
0.00,16.00,10.00,0.00,0.00,0.00,1.00,1026.66,1224.58,6847.79
0.00,53.00,10.00,0.00,0.00,1.00,1.00,25862.32,25243.55,25564.67
0.00,19.00,12.00,0.00,0.00,0.00,0.00,867.96,4386.29,8777.70
0.00,27.00,12.00,0.00,0.00,1.00,0.00,25862.32,19047.24,19214.88
0.00,32.00,10.00,0.00,0.00,1.00,1.00,20427.32,23374.45,9179.64
0.00,27.00,12.00,0.00,0.00,1.00,0.00,20983.75,14822.08,25564.67
0.00,46.00,7.00,0.00,0.00,1.00,1.00,19171.43,1317.68,0.00
0.00,24.00,13.00,0.00,0.00,0.00,0.00,20830.92,25243.55,23903.71
0.00,22.00,13.00,0.00,0.00,0.00,0.00,11036.55,10351.65,6556.67
0.00,49.00,10.00,0.00,0.00,1.00,1.00,391.85,0.00,0.00
0.00,17.00,10.00,0.00,0.00,0.00,1.00,0.00,0.00,4755.32
0.00,29.00,14.00,0.00,0.00,1.00,0.00,21499.03,22586.71,20923.13
0.00,28.00,16.00,0.00,0.00,1.00,0.00,16500.95,0.00,10267.24
0.00,46.00,12.00,0.00,0.00,1.00,0.00,24814.11,24967.84,19339.01
0.00,26.00,17.00,1.00,0.00,1.00,0.00,0.00,0.00,4753.85
0.00,49.00,12.00,0.00,0.00,0.00,0.00,25862.32,25243.55,25564.67
0.00,51.00,10.00,0.00,0.00,1.00,1.00,25862.32,25243.55,25564.67
0.00,51.00,10.00,0.00,0.00,1.00,1.00,22923.42,21725.56,10348.52
0.00,27.00,11.00,0.00,0.00,1.00,1.00,17022.11,18123.44,18490.79
0.00,23.00,13.00,0.00,0.00,0.00,0.00,19098.93,21014.81,0.00
0.00,27.00,10.00,0.00,0.00,1.00,1.00,7952.66,9755.47,13105.96
0.00,38.00,10.00,0.00,0.00,1.00,1.00,25862.32,25243.55,25564.67
0.00,32.00,8.00,0.00,0.00,0.00,1.00,7186.59,6149.76,8414.18
0.00,34.00,14.00,0.00,0.00,1.00,0.00,25862.32,25243.55,25564.67
0.00,26.00,18.00,0.00,0.00,1.00,0.00,20971.99,21883.11,25564.67
0.00,21.00,13.00,0.00,0.00,0.00,0.00,8638.41,8176.40,6753.21
0.00,39.00,8.00,0.00,1.00,0.00,1.00,13499.35,16383.24,16461.87
0.00,17.00,8.00,1.00,0.00,0.00,1.00,0.00,451.16,0.00
0.00,22.00,11.00,0.00,1.00,1.00,1.00,17466.86,17779.69,14438.87
