series_id,group_id,surface
0,13,fine_concrete
1,31,concrete
2,20,concrete
3,31,concrete
4,22,soft_tiles
5,1,tiled
6,34,soft_pvc
7,31,concrete
8,33,hard_tiles_large_space
9,11,tiled
10,26,soft_pvc
11,1,tiled
12,25,carpet
13,25,carpet
14,12,concrete
15,7,carpet
16,7,carpet
17,21,soft_tiles
18,8,tiled
19,9,soft_tiles
20,11,tiled
21,33,hard_tiles_large_space
22,22,soft_tiles
23,28,tiled
24,9,soft_tiles
25,15,soft_tiles
26,13,fine_concrete
27,27,hard_tiles
28,11,tiled
29,33,hard_tiles_large_space
30,9,soft_tiles
31,9,soft_tiles
32,35,fine_concrete
33,32,concrete
34,20,concrete
35,12,concrete
36,1,tiled
37,25,carpet
38,34,soft_pvc
39,23,wood
40,13,fine_concrete
41,14,wood
42,35,fine_concrete
43,23,wood
44,15,soft_tiles
45,27,hard_tiles
46,26,soft_pvc
47,30,fine_concrete
48,32,concrete
49,3,soft_pvc
50,32,concrete
51,9,soft_tiles
52,9,soft_tiles
53,20,concrete
54,25,carpet
55,22,soft_tiles
56,35,fine_concrete
57,35,fine_concrete
58,7,carpet
59,22,soft_tiles
60,32,concrete
61,28,tiled
62,29,soft_pvc
63,16,hard_tiles_large_space
64,3,soft_pvc
65,32,concrete
66,8,tiled
67,28,tiled
68,20,concrete
69,3,soft_pvc
70,0,concrete
71,12,concrete
72,3,soft_pvc
73,34,soft_pvc
74,23,wood
75,35,fine_concrete
76,9,soft_tiles
77,13,fine_concrete
78,29,soft_pvc
79,35,fine_concrete
80,9,soft_tiles
81,1,tiled
82,34,soft_pvc
83,10,wood
84,35,fine_concrete
85,15,soft_tiles
86,20,concrete
87,26,soft_pvc
88,9,soft_tiles
89,23,wood
90,29,soft_pvc
91,26,soft_pvc
92,30,fine_concrete
93,13,fine_concrete
94,0,concrete
95,22,soft_tiles
96,10,wood
97,14,wood
98,33,hard_tiles_large_space
99,11,tiled
100,13,fine_concrete
101,21,soft_tiles
102,10,wood
103,26,soft_pvc
104,13,fine_concrete
105,19,soft_pvc
106,4,soft_tiles
107,21,soft_tiles
108,29,soft_pvc
109,19,soft_pvc
110,23,wood
111,13,fine_concrete
112,18,soft_pvc
113,12,concrete
114,4,soft_tiles
115,6,soft_pvc
116,18,soft_pvc
117,15,soft_tiles
118,25,carpet
119,16,hard_tiles_large_space
120,1,tiled
121,17,soft_tiles
122,29,soft_pvc
123,19,soft_pvc
124,33,hard_tiles_large_space
125,32,concrete
126,8,tiled
127,8,tiled
128,7,carpet
129,4,soft_tiles
130,19,soft_pvc
131,6,soft_pvc
132,13,fine_concrete
133,26,soft_pvc
134,15,soft_tiles
135,4,soft_tiles
136,4,soft_tiles
137,9,soft_tiles
138,23,wood
139,0,concrete
140,4,soft_tiles
141,11,tiled
142,33,hard_tiles_large_space
143,29,soft_pvc
144,0,concrete
145,17,soft_tiles
146,11,tiled
147,14,wood
148,27,hard_tiles
149,7,carpet
150,9,soft_tiles
151,0,concrete
152,0,concrete
153,16,hard_tiles_large_space
154,6,soft_pvc
155,13,fine_concrete
156,17,soft_tiles
157,0,concrete
158,6,soft_pvc
159,22,soft_tiles
160,28,tiled
161,13,fine_concrete
162,12,concrete
163,34,soft_pvc
164,14,wood
165,33,hard_tiles_large_space
166,26,soft_pvc
167,13,fine_concrete
168,35,fine_concrete
169,13,fine_concrete
170,11,tiled
171,1,tiled
172,14,wood
173,20,concrete
174,8,tiled
175,16,hard_tiles_large_space
176,7,carpet
177,10,wood
178,6,soft_pvc
179,16,hard_tiles_large_space
180,9,soft_tiles
181,1,tiled
182,20,concrete
183,16,hard_tiles_large_space
184,19,soft_pvc
185,33,hard_tiles_large_space
186,18,soft_pvc
187,11,tiled
188,7,carpet
189,27,hard_tiles
190,35,fine_concrete
191,21,soft_tiles
192,10,wood
193,29,soft_pvc
194,35,fine_concrete
195,5,concrete
196,22,soft_tiles
197,10,wood
198,0,concrete
199,12,concrete
200,28,tiled
201,29,soft_pvc
202,5,concrete
203,18,soft_pvc
204,14,wood
205,26,soft_pvc
206,7,carpet
207,2,wood
208,12,concrete
209,16,hard_tiles_large_space
210,21,soft_tiles
211,19,soft_pvc
212,12,concrete
213,25,carpet
214,34,soft_pvc
215,2,wood
216,2,wood
217,23,wood
218,21,soft_tiles
219,7,carpet
220,28,tiled
221,9,soft_tiles
222,3,soft_pvc
223,3,soft_pvc
224,33,hard_tiles_large_space
225,11,tiled
226,10,wood
227,3,soft_pvc
228,19,soft_pvc
229,10,wood
230,31,concrete
231,35,fine_concrete
232,26,soft_pvc
233,20,concrete
234,11,tiled
235,0,concrete
236,15,soft_tiles
237,18,soft_pvc
238,13,fine_concrete
239,1,tiled
240,4,soft_tiles
241,3,soft_pvc
242,20,concrete
243,20,concrete
244,25,carpet
245,17,soft_tiles
246,18,soft_pvc
247,29,soft_pvc
248,15,soft_tiles
249,6,soft_pvc
250,25,carpet
251,2,wood
252,29,soft_pvc
253,9,soft_tiles
254,1,tiled
255,23,wood
256,2,wood
257,27,hard_tiles
258,4,soft_tiles
259,15,soft_tiles
260,34,soft_pvc
261,12,concrete
262,34,soft_pvc
263,10,wood
264,3,soft_pvc
265,10,wood
266,19,soft_pvc
267,26,soft_pvc
268,20,concrete
269,26,soft_pvc
270,10,wood
271,8,tiled
272,21,soft_tiles
273,16,hard_tiles_large_space
274,13,fine_concrete
275,15,soft_tiles
276,11,tiled
277,12,concrete
278,15,soft_tiles
279,6,soft_pvc
