F01,F02,F03,F04,T
3,1,0,1340,1
3,2,400,1690,1
2,1,0,2720,0
4,1,910,1360,1
3,1,0,1800,1
4,1,1530,4760,1
3,2,0,2238,1
3,1,0,1650,1
3,1,730,1780,1
3,2,0,2390,1
3,1,1700,2210,1
2,1,300,1330,0
3,1.5,0,1780,1
3,1,0,1370,1
5,1.5,0,1360,1
4,2,970,2140,1
3,2,0,1890,1
4,1.5,0,1610,1
2,1,0,1060,0
3,1,0,1280,1
4,1,760,1400,1
3,1,720,4110,1
5,2,0,2240,1
2,1,0,1220,0
3,2,0,2200,1
3,1.5,0,1030,1
3,2,700,1760,1
3,1.5,0,1860,1
3,1,730,1520,1
4,2,0,2630,1
3,2,0,2580,1
2,3,0,1390,0
4,1.5,820,1460,1
3,1.5,0,1570,1
4,1,780,2020,1
3,1.5,790,1590,1
4,1,730,2160,1
4,2,0,1730,1
4,1,330,1290,1
4,2,0,2620,1
4,2,0,2470,1
4,1,1620,2410,1
5,2,0,3625,1
3,2,0,1580,1
3,1,360,1340,1
3,2,0,3050,1
3,1,0,1228,1
4,2,0,2680,1
3,1,0,970,1
3,1,588,2680,1
3,1,0,1190,1
5,1,1510,1990,1
3,1,410,1410,1
2,1,990,1480,0
5,1.5,600,2730,1
4,2,0,1950,1
4,2,0,2250,1
3,2,0,2690,1
5,2,0,2960,1
4,2,0,2270,1
3,1,560,2570,1
3,1,0,1290,1
3,2,0,2500,1
3,3,0,1580,1
3,1,550,1440,1
3,1.5,1000,1440,1
4,2,0,2750,1
4,2,0,2221,1
3,1,0,1010,1
5,1,1600,3390,1
5,1,1700,3530,1
3,1,0,1640,1
4,1.5,500,1510,1
4,2,0,2420,1
3,1,700,1940,1
4,2,1040,3240,1
4,1,880,1680,1
3,1,0,890,1
3,1,500,1130,1
4,2,0,3350,1
3,2,0,2350,1
4,2,0,1870,1
2,1,1010,1720,0
3,1,0,1850,1
3,1,0,1570,1
3,2,240,2020,1
5,1.5,0,1590,1
3,2,790,1900,1
2,2,0,1950,0
2,2,265,1030,0
4,2,0,1980,1
5,2,0,2520,1
3,1,0,1350,1
3,1,290,1570,1
3,1,290,1570,1
4,1,910,1950,1
3,1,0,1750,1
4,1,0,1160,1
3,1,600,1650,1
3,2,0,2550,1
3,1.5,800,2200,1
3,1.5,540,1610,1
3,2,0,2570,1
3,2,0,2370,1
3,1,0,1640,1
3,1,880,2250,1
3,1.5,500,1240,1
2,1,0,1270,0
4,2,0,2990,1
5,2,0,2500,1
4,2,0,1940,1
3,1,560,1380,1
3,1,380,1540,1
3,1,1000,2090,1
4,2,710,2640,1
3,2,1600,1830,1
3,3,0,1620,1
2,1,0,1190,0
4,1,0,1880,1
4,1.5,0,1610,1
3,1,840,2340,1
3,1,0,1580,1
2,1,0,1710,0
4,1.5,380,1850,1
3,2,0,2700,1
4,1.5,770,3060,1
3,1,480,2660,1
4,1,800,2090,1
5,2,600,1700,1
4,2,0,1970,1
3,1,0,1420,1
4,1,570,2060,1
3,1.5,1490,2480,1
3,2,620,1690,1
4,3,0,1540,1
3,1,0,1550,1
4,1,1010,1750,1
4,1,1250,1550,1
2,1,0,1060,0
3,3,0,1350,1
2,1,0,1170,0
5,1,1270,2820,1
3,1,600,1610,1
3,1,120,1560,1
4,1,650,2230,1
4,2,0,2840,1
4,2,180,2200,1
2,2,0,1940,0
5,1,1130,1360,1
3,1,450,1450,1
3,2,0,1500,1
3,1.5,0,1420,1
3,1,0,1680,1
4,2,1640,3160,1
1,1,0,1010,0
3,1,0,1190,1
5,2,1460,2640,1
4,1,1020,1980,1
3,1.5,0,1160,1
4,1,0,1730,1
5,1,1030,1010,1
3,1,0,1200,1
3,2,0,3400,1
3,1,750,1710,1
3,1,1010,2110,1
3,1,400,1640,1
2,1,640,1830,0
4,2,0,2920,1
3,1,1070,2480,1
3,1,0,1770,1
3,1,0,1070,1
3,1,490,1930,1
3,1.5,0,1480,1
4,2,1310,3740,1
4,2,0,2260,1
3,2,300,1590,1
5,1,650,1280,1
3,1,0,1200,1
3,1,630,1950,1
2,1,290,1540,0
3,2,0,1670,1
4,1.5,700,1410,1
